"transformation_date","item_name","Transformation_ID","Lot_ID","farm_name","Harvesting_ID","product_desc","quantity","transformer_quantity","transfored_product_desc","lot_code_hyperlink","Subsequent_ID","is_contaminated"
"2021-10-13","cilantro","TR1","1","Orchard Valley Farm","H1","Orchard Valley Farm,cilantro,7336,LBS",7336,3914,"NB NUT BUTTER CO., CASE, SMOOTH PEANUT MIX VEG, 20 X 1LB EA","Orchard Valley Farm_1","1","false"
"2022-02-27","Tomatoes","TR2","2","Burnt Mill Farm","H2","Burnt Mill Farm,Tomatoes,4160,LBS",4160,8756,"ACME BRAND, FROZEN SALAD, 25 LB CASE","Burnt Mill Farm_2","2","false"
"2022-10-12","kale","TR3","3","Starview Farms","H3","Starview Farms,kale,2156,LBS",2156,1878,"NB NUT BUTTER CO., CASE, SMOOTH PEANUT MIX VEG, 20 X 1LB EA","Starview Farms_3","3","false"
"2021-11-12","melons","TR4","4","roland farms","H4","roland farms,melons,3394,LBS",3394,1799,"NB NUT BUTTER CO., CASE, SMOOTH PEANUT MIX VEG, 20 X 1LB EA","roland farms_4","4","false"
"2022-03-14","Item","TR5","5","Red Barn Farms","H5","Red Barn Farms,Item,9681,LBS",9681,8322,"NB NUT BUTTER CO., CASE, SMOOTH PEANUT MIX VEG, 20 X 1LB EA","Red Barn Farms_5","5","false"
"2021-11-21","lettuce","TR6","6","Hidden gems Farm","H6","Hidden gems Farm,lettuce,161,LBS",161,9078,"FRESH PROCESSOR BRAND, GARDEN SALAD KIT, 10x12 OZ BAGS","Hidden gems Farm_6","6","false"
"2022-07-17","Item","TR7","7","Red Barn Farms","H7","Red Barn Farms,Item,9641,LBS",9641,708,"SALTY SMOKER BRAND, COLD SMOKED VEG, 40 X 8 OZ PACK","Red Barn Farms_7","7","false"
"2021-09-09","Item","TR8","8","Meadowlark Farm","H8","Meadowlark Farm,Item,9405,LBS",9405,645,"SALTY SMOKER BRAND, COLD SMOKED VEG, 40 X 8 OZ PACK","Meadowlark Farm_8","8","true"
"2022-03-15","Item","TR9","9","Meadowlark Farm","H9","Meadowlark Farm,Item,9477,LBS",9477,1681,"BIGSTORE BRAND, FROZEN VEG MEAL , 20 LB CASE","Meadowlark Farm_9","9","false"
"2021-10-28","Item","TR10","10","Meadowlark Farm","H10","Meadowlark Farm,Item,9377,LBS",9377,7043,"CHARLES CHEESE CO. BRAND, FETA VEG CHEESE, 40 X 8 OZ EA","Meadowlark Farm_10","10","false"
